order_id,customer_id,order_date,status,region_code
ORD_03ACB436,CUST_A2235E63,2022-05-30 16:57:34,DELIVERED,EAST
ORD_0D655AF7,CUST_00715BCA,2022-03-31 23:02:03,DELIVERED,WEST
ORD_CB8EB479,CUST_AAB35241,2025-11-21 22:45:49,PLACED,WEST
ORD_CCCF60FA,CUST_5CFFF81D,2024-12-21 04:39:07,PLACED,SOUTH
ORD_AEFBCFDB,CUST_5287AF0D,2022-07-12 18:57:51,DELIVERED,WEST
ORD_D6F6AF57,CUST_E5E14E38,2025-05-02 22:21:01,DELIVERED,WEST
ORD_E2B25425,CUST_9E546EF6,2023-06-06 12:57:47,RETURNED,EAST
ORD_AFCB7002,CUST_7557948A,2022-08-31 02:53:48,SHIPPED,CENTRAL
ORD_8708CAE7,CUST_9BBF1E61,2023-06-07 17:27:23,DELIVERED,SOUTH
ORD_8242FCB5,CUST_DB974C75,2025-06-08 21:12:53,PLACED,CENTRAL
ORD_41DE7071,CUST_13D63B19,2026-06-12 12:09:57,DELIVERED,WEST
ORD_65657F7B,CUST_53712DF0,2024-02-21 02:22:15,DELIVERED,EAST
ORD_C81B0CCD,CUST_6DAAAE3C,2022-08-08 09:53:10,SHIPPED,EAST
ORD_4343AF45,CUST_0A9A5AC6,2025-02-14 04:02:14,DELIVERED,SOUTH
ORD_75187C6C,CUST_C058D917,2025-09-04 20:05:38,PLACED,NORTH
ORD_AF4C89DC,UNKNOWN,2026-05-03 08:09:35,DELIVERED,CENTRAL
ORD_D74148B6,CUST_7437DF43,2026-05-23 09:59:57,DELIVERED,SOUTH
ORD_70712CE5,CUST_3309BC09,2023-04-16 11:11:44,DELIVERED,CENTRAL
ORD_BEDAE061,CUST_FF4D03E3,2025-09-19 00:51:27,DELIVERED,NORTH
ORD_8BD6BDD6,CUST_AB59B040,2025-03-30 23:15:04,DELIVERED,NORTH
ORD_29C4B38F,CUST_24B4BB25,2023-05-03 10:02:44,DELIVERED,WEST
ORD_4890CF82,CUST_95D66FC6,2022-09-24 08:44:47,CANCELLED,EAST
ORD_DC67EDFA,CUST_CE7CCE56,2023-04-04 06:24:27,PLACED,WEST
ORD_53A0E326,CUST_D779F286,2022-07-09 04:42:39,DELIVERED,CENTRAL
ORD_95AD603F,CUST_8463F485,2023-06-10 08:06:25,DELIVERED,SOUTH
ORD_5F76A906,CUST_40964ED8,2023-06-15 23:04:13,PLACED,SOUTH
ORD_6DFD5533,CUST_79C05F3E,2025-12-12 19:42:57,CANCELLED,WEST
ORD_51E7D2FD,CUST_01D82964,2022-05-07 23:09:24,DELIVERED,SOUTH
ORD_C485884F,UNKNOWN,2025-11-18 22:03:48,RETURNED,SOUTH
ORD_8D88F6F0,CUST_0B453CAC,2023-03-18 14:22:26,DELIVERED,CENTRAL
ORD_D3E2991E,CUST_831E0CEE,2025-07-25 10:52:10,CANCELLED,EAST
ORD_F98DD7F8,CUST_3EB57D07,2023-06-28 11:33:51,CANCELLED,NORTH
ORD_4240026B,CUST_8087F210,2025-11-05 22:50:19,DELIVERED,WEST
ORD_AB034CC3,CUST_59BF4A81,2026-06-16 16:52:08,DELIVERED,EAST
ORD_8A655DB4,CUST_F18FBBDE,2024-12-09 04:50:20,PLACED,SOUTH
ORD_BF4FA886,CUST_35982071,2023-01-27 20:23:08,CANCELLED,WEST
ORD_A30B062A,CUST_F27170F9,2024-01-17 13:05:34,RETURNED,SOUTH
ORD_37AF52E3,CUST_13C13692,2025-04-07 22:32:48,SHIPPED,EAST
ORD_6CB3505D,CUST_E7D6A752,2022-02-19 05:27:55,DELIVERED,WEST
ORD_F8138744,CUST_B49F7988,2024-10-24 14:47:55,RETURNED,EAST
ORD_916133F1,CUST_DD43968F,2022-03-22 14:11:37,DELIVERED,NORTH
ORD_AEA3087A,CUST_538F241C,2022-10-03 06:10:09,DELIVERED,CENTRAL
ORD_057297E3,CUST_31331495,2025-01-25 20:36:24,DELIVERED,EAST
ORD_5C759909,CUST_D53D8E1B,2024-11-02 19:01:08,PLACED,EAST
ORD_C2BC8CB3,CUST_44B21DAC,2025-09-03 04:11:55,DELIVERED,CENTRAL
ORD_8F494282,CUST_A73DBEEA,2026-03-03 05:01:32,DELIVERED,NORTH
ORD_974CC317,CUST_A2AEDDAE,2022-07-04 15:12:58,DELIVERED,WEST
ORD_CC4CEE4A,CUST_BFEC85E7,2024-02-16 14:41:48,DELIVERED,CENTRAL
ORD_0A139615,CUST_D9766F01,2025-04-14 21:42:54,DELIVERED,CENTRAL
ORD_CAAED50E,CUST_CE976722,2024-11-23 08:45:19,DELIVERED,NORTH
ORD_655084E4,CUST_7557948A,2022-05-30 18:17:42,DELIVERED,EAST
ORD_73F2CC8F,UNKNOWN,2024-08-29 07:45:32,DELIVERED,NORTH
ORD_93EF98D3,CUST_40964ED8,2023-01-01 03:25:23,DELIVERED,CENTRAL
ORD_F2CB38A7,CUST_EFEB5B03,2024-11-20 09:28:02,PLACED,SOUTH
ORD_83DC2C72,CUST_016C2E93,2025-08-14 02:00:30,PLACED,CENTRAL
ORD_6E979599,CUST_3F50FC7B,2024-04-30 13:40:46,RETURNED,SOUTH
ORD_457EBDF9,CUST_A1CAB7C4,2023-02-19 23:51:37,DELIVERED,NORTH
ORD_A3D6087D,CUST_FF4D03E3,2022-06-15 18:03:45,DELIVERED,EAST
ORD_15904BDF,UNKNOWN,2025-09-08 04:56:24,DELIVERED,WEST
ORD_1861D3B8,CUST_EA78BCB4,2025-11-30 13:42:24,DELIVERED,WEST
ORD_088618BE,CUST_F18FBBDE,2025-05-10 07:12:30,SHIPPED,CENTRAL
ORD_9CD5A3FE,CUST_1611A682,2022-07-12 13:06:13,DELIVERED,CENTRAL
ORD_B43A594B,CUST_40DC20B1,2024-04-13 22:26:58,DELIVERED,WEST
ORD_8F5057D4,CUST_155CBD10,2022-11-29 01:54:35,RETURNED,NORTH
ORD_D039230F,UNKNOWN,2026-01-21 19:21:52,DELIVERED,SOUTH
ORD_81462F03,CUST_4810B650,2023-05-17 00:18:49,DELIVERED,SOUTH
ORD_735A30B3,CUST_50DE347B,2026-03-10 02:00:46,DELIVERED,NORTH
ORD_9CAD544F,CUST_D34F6290,2022-08-09 21:07:45,DELIVERED,SOUTH
ORD_11655D02,CUST_2AA016AE,2022-04-28 17:30:57,DELIVERED,WEST
ORD_8BA3BC88,CUST_01D82964,2024-04-23 19:27:26,DELIVERED,SOUTH
ORD_656A18D5,CUST_36B77E0A,2024-12-29 10:03:18,RETURNED,SOUTH
ORD_376D1AB3,CUST_F0C71692,2026-04-13 04:03:18,DELIVERED,SOUTH
ORD_2E48180F,CUST_01E8C301,2023-11-14 06:10:00,DELIVERED,EAST
ORD_2F0E5065,CUST_C3573300,2022-12-15 17:33:39,DELIVERED,NORTH
ORD_87E05F23,CUST_FD650B5B,2023-10-28 17:32:43,DELIVERED,CENTRAL
ORD_5265D4B1,CUST_F72D3C9D,2024-10-01 10:49:36,DELIVERED,EAST
ORD_6A9EAEA5,CUST_836D4181,2024-07-24 11:03:16,DELIVERED,NORTH
ORD_5939598D,CUST_99116A59,2022-03-02 06:18:42,DELIVERED,CENTRAL
ORD_74B68628,CUST_9BAA8A02,2022-12-18 18:37:11,RETURNED,CENTRAL
ORD_E9BFA2A7,CUST_180B594B,2022-10-05 19:50:00,DELIVERED,CENTRAL
ORD_2379DB02,UNKNOWN,2022-08-23 06:02:06,DELIVERED,NORTH
ORD_3D505A26,CUST_C8669FBF,2024-11-16 23:14:26,SHIPPED,SOUTH
ORD_D79B7424,CUST_3F2278EE,2024-07-30 20:19:39,DELIVERED,EAST
ORD_63377EFD,CUST_4DD737CF,2024-05-16 20:23:01,DELIVERED,NORTH
ORD_821A3587,CUST_35C020DA,2024-10-18 21:05:02,CANCELLED,CENTRAL
ORD_0EB488F9,CUST_C83A6215,2025-05-27 05:44:30,PLACED,CENTRAL
ORD_7A748962,CUST_5AA4EB8D,2025-03-04 17:46:40,RETURNED,NORTH
ORD_E78D4998,CUST_2F14C002,2023-02-20 11:29:45,SHIPPED,WEST
ORD_2BA639F7,CUST_C3573300,2022-02-01 14:57:01,CANCELLED,NORTH
ORD_BCF252AF,CUST_324C8FE3,2023-12-15 00:13:01,DELIVERED,NORTH
